location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
4236362,Imperial,0.3492288823620384,north,Rua Coronel Albino Rodrigues 190,,Braga,Portugal,"Rua Coronel Albino Rodrigues 190, Braga 4715-559 Portugal",4715-559
23633435,Restaurante Tempo,0.374355643788585,north,Praca Dr. Francisco Araujo Malheiro,75,Braga,Portugal,"Praca Dr. Francisco Araujo Malheiro 75, Braga 4715-213 Portugal",4715-213
13972763,Pizza Hut,0.5620473727506062,north,Avenida Robert Smith,"Minho Center, Unit 4",Braga,Portugal,"Avenida Robert Smith Minho Center, Unit 4, Braga 4715-249 Portugal",4715-249
15124389,Cafetaria Fonte Seca,0.2641125860590384,east,Rua Irmas Missionarias do Espirito Santo N039,,Braga,Portugal,"Rua Irmas Missionarias do Espirito Santo N039, Braga 4715-183 Portugal",4715-183
11914451,Restaurante do Convento,0.2775953877309792,east,Estr. Via Falperra 407,,Braga,Portugal,"Estr. Via Falperra 407, Braga 4715-391 Portugal",4715-391
17821494,OubeLa,0.3578314810045003,northeast,Avenida Alfredo Barros n 192,,Braga,Portugal,"Avenida Alfredo Barros n 192, Braga 4715-350 Portugal",4715-350
13811533,Vida Ja,0.4191817309252825,northeast,Rua Maria Ondina Braga 35,,Braga,Portugal,"Rua Maria Ondina Braga 35, Braga 4715-586 Portugal",4715-586
19719179,O teu Refugio Cafe & Bar,0.5381800096302803,north,Rua Antonio Candido Pinto N 81,,Braga,Portugal,"Rua Antonio Candido Pinto N 81, Braga 4715-400 Portugal",4715-400
8040764,Restaurante 'Versatil',0.5849837530340327,east,Avenida Tulio Espanca,,Evora,Portugal,"Avenida Tulio Espanca, Evora 7005-840 Portugal",7005-840
7185274,EVORABRAZA,0.5160335557987997,northeast,Avenida Sao Sebastiao N. 25,,Evora,Portugal,"Avenida Sao Sebastiao N. 25, Evora 7000-767 Portugal",7000-767
23478883,Franguito da Guia,0.5194645406826084,northeast,Avenida Sao Sebastiao n 25,,Evora,Portugal,"Avenida Sao Sebastiao n 25, Evora 7000-767 Portugal",7000-767
7689911,Restaurante Sol Poente,0.39289494265118424,west,Av. Tulio Esperanca,Hotel Évora,Evora,Portugal,"Av. Tulio Esperanca Hotel Évora, Evora 7006-802 Portugal",7006-802
17695485,Botequim da Vila,0.4205409105402631,west,Praca Vila Academica,"Fraction B, Lot 1",Evora,Portugal,"Praca Vila Academica Fraction B, Lot 1, Evora 7000-969 Portugal",7000-969
10390176,Marisqueira Delgado,0.10669649135376125,south,Rua de Lavre 28,,Evora,Portugal,"Rua de Lavre 28, Evora 7005-392 Portugal",7005-392
5888869,Pedra Alta,0.10959799414792494,south,Rua da Agudela 1035,,Lavra,Portugal,"Rua da Agudela 1035, Lavra 4455-123 Portugal",4455-123
14158742,Sukiya,0.6918061280703578,southeast,Rua Horta das Figueiras 144,,Evora,Portugal,"Rua Horta das Figueiras 144, Evora 7005-212 Portugal",7005-212
2641379,O Moinho do Cu Torto,0.7667112423483179,southeast,Rua de Santo Andre 2,,Evora,Portugal,"Rua de Santo Andre 2, Evora 7005-401 Portugal",7005-401
16754334,Souk - Mercearia Biologica,0.6950172515531184,east,R. de Viana 11B,,Evora,Portugal,"R. de Viana 11B, Evora 7005-410 Portugal",7005-410
9993953,Snack Obelix,0.5131377471071971,west,Largo da Portas de Moura 11,,Evora,Portugal,"Largo da Portas de Moura 11, Evora 7004-507 Portugal",7004-507
10109826,Tabua do Naldo,0.5167312965643932,west,Praca 10 de Maio n 20,,Evora,Portugal,"Praca 10 de Maio n 20, Evora 7000-650 Portugal",7000-650
21310642,Nos Ilha Bar,0.39750004857762483,west,Rua Mendos Estevens,,Evora,Portugal,"Rua Mendos Estevens, Evora 7005 Portugal",7005
23747534,Na T'acho Restaurante Atipico,0.5702619343206466,west,Rua da Misericordia 9,,Evora,Portugal,"Rua da Misericordia 9, Evora 7000-654 Portugal",7000-654
20288243,The Noble House,0.5411594882176276,west,"Freiria de Baixo, 16 Street",,Evora,Portugal,"Freiria de Baixo, 16 Street, Evora 7000-898 Portugal",7000-898
11657386,Pastelaria Academica,0.5647276694484644,west,Rua da Misericordia 18,,Evora,Portugal,"Rua da Misericordia 18, Evora 7000-654 Portugal",7000-654
