postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
3800-064,1,5,6684,Aveiro,3800,064,AVEIRO,Aveiro,Aveiro,40.65364715558723%2C-8.588381924924027
3800-062,1,5,6684,Aveiro,3800,062,AVEIRO,Aveiro,Aveiro,40.648974236906625%2C-8.585231032673967
3800-368,1,5,6684,Aveiro,3800,368,AVEIRO,Aveiro,Aveiro,40.654734684468075%2C-8.579693880873236
3800-303,1,5,6684,Aveiro,3800,303,AVEIRO,Aveiro,Aveiro,40.651352246147795%2C-8.633852445620414
3800-111,1,5,6684,Aveiro,3800,111,AVEIRO,Aveiro,Aveiro,40.64350563627973%2C-8.637553195659741
3800-426,1,5,6684,Aveiro,3800,426,AVEIRO,Aveiro,Aveiro,40.644297846036494%2C-8.636839532878462
3800-390,1,5,6684,Aveiro,3800,390,AVEIRO,Aveiro,Aveiro,40.651831119810986%2C-8.64058563032456
3800-374,1,5,6684,Aveiro,3800,374,AVEIRO,Aveiro,Aveiro,40.65167571315335%2C-8.637518703472553
3800-389,1,5,6684,Aveiro,3800,389,AVEIRO,Aveiro,Aveiro,40.66364231399829%2C-8.636965716907737
3800-384,1,5,6684,Aveiro,3800,384,AVEIRO,Aveiro,Aveiro,40.66356098144242%2C-8.627977727328116
3800-376,1,5,6684,Aveiro,3800,376,AVEIRO,Aveiro,Aveiro,40.660903937688694%2C-8.624488246779155
3800-380,1,5,6684,Aveiro,3800,380,AVEIRO,Aveiro,Aveiro,40.6614913676712%2C-8.630966050402298
3800-377,1,5,6684,Aveiro,3800,377,AVEIRO,Aveiro,Aveiro,40.65325759499936%2C-8.636660681256277
3800-306,1,5,6684,Aveiro,3800,306,AVEIRO,Aveiro,Aveiro,40.65862774853569%2C-8.633686094288668
3800-034,1,5,6684,Aveiro,3800,034,AVEIRO,Aveiro,Aveiro,40.66231921124379%2C-8.619185826976944
3800-386,1,5,6684,Aveiro,3800,386,AVEIRO,Aveiro,Aveiro,40.63838872131172%2C-8.636162914908994
3800-316,1,5,6684,Aveiro,3800,316,AVEIRO,Aveiro,Aveiro,40.64710343363008%2C-8.647706503604573
3800-391,1,5,6684,Aveiro,3800,391,AVEIRO,Aveiro,Aveiro,40.66999977342379%2C-8.633167022888179
3800-367,1,5,6684,Aveiro,3800,367,AVEIRO,Aveiro,Aveiro,40.66672151026519%2C-8.625330050904438
3800-382,1,5,6684,Aveiro,3800,382,AVEIRO,Aveiro,Aveiro,40.66607563117376%2C-8.624028663209096
3800-046,1,5,6684,Aveiro,3800,046,AVEIRO,Aveiro,Aveiro,40.659106931796764%2C-8.580790229712594
3810-490,1,5,6684,Aveiro,3810,490,AVEIRO,Aveiro,Aveiro,40.62881321629812%2C-8.618056711584673
3810-499,1,5,6684,Aveiro,3810,499,AVEIRO,Aveiro,Aveiro,40.637934512936674%2C-8.605975513862457
3800-123,1,5,6684,Aveiro,3800,123,AVEIRO,Aveiro,Aveiro,40.64564506261195%2C-8.643727012563144
3810-383,1,5,6684,Aveiro,3810,383,AVEIRO,Aveiro,Aveiro,40.60642880133908%2C-8.643552708261565
3810-384,1,5,6684,Aveiro,3810,384,AVEIRO,Aveiro,Aveiro,40.61320320830559%2C-8.651572930110948
3800-381,1,5,6684,Aveiro,3800,381,AVEIRO,Aveiro,Aveiro,40.65379527804199%2C-8.621432629134041
3800-124,1,5,6684,Aveiro,3800,124,AVEIRO,Aveiro,Aveiro,40.64381545608547%2C-8.651928281738611
3800-424,1,5,6684,Aveiro,3800,424,AVEIRO,Aveiro,Aveiro,40.64167055800553%2C-8.616404685528861
3810-076,1,5,6684,Aveiro,3810,076,AVEIRO,Aveiro,Aveiro,40.63859292883659%2C-8.654193419561395
3800-290,1,5,6684,Aveiro,3800,290,AVEIRO,Aveiro,Aveiro,40.645388163836145%2C-8.616515184555716
