location_id,name,distance,bearing,address_obj.street1,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string,address_obj.street2,address_obj.state
2543290,Aqueduto da Agua de Prata,0.08819523580258026,north,R. do Muro 8,Evora,Portugal,7000-602,"R. do Muro 8, Evora 7000-602 Portugal",,
15668949,Portal Manuelino,0.04993094174140418,southeast,R. Dr. Guilherme Moreira 10,Coimbra,Portugal,3000-210,"R. Dr. Guilherme Moreira 10, Coimbra 3000-210 Portugal",,
15668831,Tricana de Coimbra,0.37745643276086926,southeast,R. de Quebra Costas 50-56,Coimbra,Portugal,3000-340,"R. de Quebra Costas 50-56, Coimbra 3000-340 Portugal",,
7225933,Centro Historico de Evora,0.00643817359089052,north,,Evora,Portugal,7000,Evora 7000 Portugal,,
7140311,Chafariz das Bravas,0.1542689691992953,northwest,Avenida Tulio Espanca,Evora,Portugal,7000-768,"Avenida Tulio Espanca, Evora 7000-768 Portugal",,
15668873,Carmelo de Santa Teresa,0.10747974406550749,north,Rua Santa Teresa 16,Coimbra,Portugal,3000-359,"Rua Santa Teresa 16, Coimbra 3000-359 Portugal",,
8533184,E.tour Bike Rental,0.2999582339857889,northeast,Coimbra Inovacao Parque,Coimbra,Portugal,3045-600,"Coimbra Inovacao Parque, Coimbra 3045-600 Portugal",,
12541203,Cais A Porta,0.050671747568128166,north,Cais das Falcoeiras 6,Aveiro,Portugal,3800-180,"Cais das Falcoeiras 6, Aveiro 3800-180 Portugal",,
13630953,Santuario de Santa Maria Madalena da Falperra,0.905966477665296,southeast,N309,Braga,Portugal,,"N309, Braga Portugal",,
13124988,Just Be,0.7516473507221455,east,Avenida Sao Sebastiao 9,Evora,Portugal,7000-767,"Avenida Sao Sebastiao 9, Evora 7000-767 Portugal",,
6117134,Mercado Municipal D. Pedro V,0.16789761558138205,south,Rua Nicolau Rui Fernandes,Coimbra,Portugal,3000-303,"Rua Nicolau Rui Fernandes, Coimbra 3000-303 Portugal",,
25190380,Sensispa,0.835096807903935,northeast,Rua Padre Armando Lira,Braga,Portugal,4705-672,"Rua Padre Armando Lira 22, Braga 4705-672 Portugal",22,
7789442,Museu PIO XII,0.4382416950551455,south,Largo de Sao Tiago 47,Braga,Portugal,4700-039,"Largo de Sao Tiago 47 Largo de Santiago, 47, Braga 4700-039 Portugal","Largo de Santiago, 47",
4107667,Mata Nacional de Vale de Canas,0.6628059126424811,southwest,Rua de Vale de Canas,Coimbra,Portugal,3030-277,"Rua de Vale de Canas, Coimbra 3030-277 Portugal",,
23654441,Glam Caffe,0.9228057369581905,west,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
13568587,Edificio da Rua Candido dos Reis,0.0347556634199343,northeast,Rua Candido dos Reis,Evora,Portugal,7000-582,"Rua Candido dos Reis 45 A, Evora 7000-582 Portugal",45 A,
3869808,Indigo Centro de Estetica e Spa Urbano,0.2195608858276086,east,Rua Pedro Alvares Cabral 30,Coimbra,Portugal,3030-069,"Rua Pedro Alvares Cabral 30, Coimbra 3030-069 Portugal",,
13587498,Anta da Herdade da Murteira,0.030937346451417398,east,,Evora,Portugal,7005-776,"Herdade da Murteira, Evora 7005-776 Portugal",Herdade da Murteira,
4011089,Hugo Crespo - Servicos Equestres,0.1618584662824128,north,Quinta do Frade,Coimbra,Portugal,6300-080,"Quinta do Frade, Coimbra 6300-080 Portugal",,
8533184,E.tour Bike Rental,0.10915974132299101,northeast,Coimbra Inovacao Parque,Coimbra,Portugal,3045-600,"Coimbra Inovacao Parque, Coimbra 3045-600 Portugal",,
9766480,Minho Center,0.6373850060728263,north,Av. Robert Smith,Braga,Portugal,4700,"Av. Robert Smith Fraião, Braga 4700 Portugal",Fraião,
12928798,Vipbus,0.31957563498409436,south,,Coimbra,Portugal,,Coimbra Portugal,,
10260667,Convento de Santo Antonio Church,0.4890305618384933,north,Largo de Santo Antonio,Aveiro,Portugal,3810-169,"Largo de Santo Antonio, Aveiro 3810-169 Portugal",,
23341679,Estacao Ferroviaria De Coimbra,0.7581024870886361,west,Largo das Ameias,Coimbra,Portugal,3000-024,"Largo das Ameias, Coimbra 3000-024 Portugal",,
23654441,Glam Caffe,0.7222409369539065,southwest,Rua Americo Diniz 111 Casas Novas,Coimbra,Portugal,3045-138,"Rua Americo Diniz 111 Casas Novas, Coimbra 3045-138 Portugal",,
14891851,Praca Humberto Delgado,0.0954992799358747,northwest,Praca Humberto Delgado,Aveiro,Portugal,3810-270,"Praca Humberto Delgado, Aveiro 3810-270 Portugal",,
7140311,Chafariz das Bravas,0.3488005242838868,northeast,Avenida Tulio Espanca,Evora,Portugal,7000-768,"Avenida Tulio Espanca, Evora 7000-768 Portugal",,
3292242,Choupal National Forest,0.7395127790356019,south,,Coimbra,Portugal,,Coimbra Portugal,,
23816917,Cinemas Zero Tabus Aveiro,0.08143507063780285,east,Rua Hintze Ribeiro 66,Aveiro,Portugal,3800-359,"Rua Hintze Ribeiro 66, Aveiro 3800-359 Portugal",,
13630870,Departamento de Arquitectura e Artes Visuais da UE,0.9250733925256236,south,N18 36,Evora,Portugal,7005-005,"N18 36, Evora 7005-005 Portugal",,
2543020,Portugal Kayak,0.1296181327603002,south,Douro River,Aveiro,Portugal,3800-098,"Douro River, Aveiro 3800-098 Portugal",,
7391516,Patio da Inquisicao,0.02842553740522348,west,Rua Pedro Rocha,Coimbra,Portugal,3000-330,"Rua Pedro Rocha, Coimbra 3000-330 Portugal",,
25270686,Supremus Crossbox,1.0305575077999498,east,R. de Caires N211,Braga,Portugal,4700-206,"R. de Caires N211, Braga 4700-206 Portugal",,
4037743,Sete Fontes,0.5746175233986915,east,Lugar das Sete Fontes,Braga,Portugal,4715-165,"Lugar das Sete Fontes Sao Victor, Braga 4715-165 Portugal",Sao Victor,
3874056,Observatorio Geofisico e Astronomico,0.4927619340769763,east,Rua do Observatorio S/N,Coimbra,Portugal,3040-004,"Rua do Observatorio S/N, Coimbra 3040-004 Portugal",,
